,Unnamed: 0,respondent,resp_id_old,subset,subset_old,survey_immediate_start,sns_filename,sns_findSpecific_Item1_RT,sns_findSpecific_Item1_AOISelected,sns_findSpecific_Item1_AOIAccuracy,sns_findSpecific_Item1_FixationCount,sns_findSpecific_Item2_RT,sns_findSpecific_Item2_AOISelected,sns_findSpecific_Item2_AOIAccuracy,sns_findSpecific_Item2_FixationCount,sns_findSpecific_Item3_RT,sns_findSpecific_Item3_AOISelected,sns_findSpecific_Item3_AOIAccuracy,sns_findSpecific_Item3_FixationCount,sns_findSpecific_Item4_RT,sns_findSpecific_Item4_AOISelected,sns_findSpecific_Item4_AOIAccuracy,sns_findSpecific_Item4_FixationCount,sns_findSpecific_Item5_RT,sns_findSpecific_Item5_AOISelected,sns_findSpecific_Item5_AOIAccuracy,sns_findSpecific_Item5_FixationCount,sns_findSpecific_Item1_subjUndiscovered,sns_findSpecific_Item2_subjUndiscovered,sns_findSpecific_Item3_subjUndiscovered,sns_findSpecific_Item4_subjUndiscovered,sns_findSpecific_Item5_subjUndiscovered,iam_findSpecific_Item1_ClickAccurate,iam_findSpecific_Item2_ClickAccurate,iam_findSpecific_Item3_ClickAccurate,iam_findSpecific_Item4_ClickAccurate,iam_findSpecific_Item5_ClickAccurate,iam_findAnything_FrontPage_Undiscovered_TTFF,iam_findAnything_FrontPage_Undiscovered_TFD,iam_findAnything_FrontPage_Undiscovered_FixationCount,iam_findAnything_BackPage_Undiscovered_TTFF,iam_findAnything_BackPage_Undiscovered_TFD,iam_findAnything_BackPage_Undiscovered_FixationCount,iam_findAnything_FrontPage_SubjUndiscovered_TTFF,iam_findAnything_FrontPage_SubjUndiscovered_TFD,iam_findAnything_FrontPage_SubjUndiscovered_FixationCount,iam_findAnything_BackPage_SubjUndiscovered_TTFF,iam_findAnything_BackPage_SubjUndiscovered_TFD,iam_findAnything_BackPage_SubjUndiscovered_FixationCount
0,0,1,5,1,Nandos_Menu_Current_Subset1_2,05/19/2025 1:13:53 PM,014_Resp_005.csv,5859.2224,Item_17,4.0,20.0,8255.2638,Item_17,4.0,23.0,59601.4521,Item_84,4,153.0,6246.9479,Item_10,4.0,19.0,8033.2094,Item_46,4.0,18.0,0.0,1.0,0.0,1.0,1.0,,,,,,1661.15,39005.3,10.0,335.13,44518.99,15.0,5458.44,29012.489999999998,4.0,23085.44,13499.23,3.0
1,1,2,6,1,Nandos_Menu_Current_Subset1,05/19/2025 1:57:44 PM,003_Resp_006 (3).csv,28479.0846,Item_74,3.0,21.0,7262.4763,Item_03,4.0,16.0,32570.361,,3,16.0,5785.1189,Item_70,4.0,19.0,4191.6719,,2.0,,0.0,0.0,0.0,1.0,0.0,,,,,,8695.25,17504.01,11.0,20099.29,5595.93,9.0,9144.94,5496.0,3.0,20532.32,99.94,1.0
2,2,3,8,1,Nandos_Menu_Current_Subset1_2,05/19/2025 2:17:19 PM,013_Resp_008.csv,25746.1085,Item_73,4.0,67.0,67967.8263,Item_17,3.0,84.0,37120.655,Item_03,3,42.0,9134.4821,Item_10,4.0,14.0,5571.0546,Item_30,3.0,11.0,0.0,1.0,0.0,1.0,1.0,,,,,,1501.26,73614.12999999999,15.0,0.0,49722.9,17.0,1501.26,30727.989999999998,5.0,241.29,11458.44,3.0
3,3,4,10,1,Nandos_Menu_Current_Subset1,05/19/2025 2:58:44 PM,004_Resp_010 (3).csv,13067.8902,Item_73,4.0,27.0,,,,,61147.5715,Item_78,4,167.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,7501.05,10825.59,4.0,1521.15,6529.24,3.0,,0.0,0.0,,0.0,0.0
4,4,5,39,2,Nandos_Menu_NewFunctional_Subset2_2,05/19/2025 3:10:27 PM,012_Resp_039.csv,46615.9442,Item_65,3.0,130.0,39214.8979,Item_69,4.0,116.0,20445.8101,,4,60.0,4274.9225,Item_10,4.0,8.0,41698.316,Item_46,3.0,109.0,1.0,1.0,0.0,1.0,1.0,,,,,,2075.58,1682.12,6.0,,0.0,0.0,2075.58,666.18,4.0,,0.0,0.0
5,5,6,7,1,Nandos_Menu_Current_Subset1,05/19/2025 4:07:46 PM,005_Resp_007 (3).csv,180124.0103,Item_17,4.0,259.0,89303.3248,Item_06,3.0,139.0,34447.7608,Item_51,4,44.0,15482.6329,Item_70,4.0,40.0,15024.7941,Item_30,4.0,26.0,0.0,1.0,0.0,1.0,0.0,,,,,,2336.1,45733.8,16.0,1581.18,64486.91,17.0,2336.1,32426.68,9.0,113751.16,3930.49,1.0
6,6,7,1,1,Nandos_Menu_Current_Subset1,05/19/2025 9:40:05 AM,001_Resp_001.csv,13950.7355,Item_16,3.0,,25601.3658,Item_17,3.0,,10768.3919,Item_60,3,,6972.9638,Item_10,3.0,,4008.7349,Item_30,2.0,,,,,,,,,,,,,,,,,,,,,,,
7,7,8,2,1,Nandos_Menu_Current_Subset1,05/19/2025 9:44:06 AM,001_Resp_002 (3).csv,21159.1792,Item_03,4.0,61.0,18592.4763,Item_73,4.0,54.0,18139.757,Item_51,4,47.0,6998.6281,Item_70,4.0,16.0,6657.8013,Item_46,4.0,16.0,0.0,1.0,0.0,1.0,0.0,,,,,,5131.24,3963.83,4.0,331.46,582.9300000000001,2.0,5131.24,3031.17,2.0,,,
8,8,9,3,1,Nandos_Menu_Current_Subset1,05/19/2025 10:19:02 AM,006_Resp_003 (3).csv,11641.2196,,4.0,27.0,33283.1843,Item_17,4.0,87.0,67675.9458,Item_07,3,184.0,10626.5649,Item_47,4.0,36.0,6617.7614,Item_46,3.0,20.0,,,,,,,,,,,8819.52,23166.769999999997,14.0,15751.09,31127.620000000003,12.0,,,,,,
9,9,10,32,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 10:48:53 AM,001_Resp_032.csv,14804.0,Item_09,4.0,41.0,5910.0,Item_17,4.0,18.0,3166.0,Item_61,4,5.0,3537.0,Item_47,4.0,9.0,4299.0,Item_46,4.0,12.0,,,,,,,,,,,1227.35,43651.93,13.0,3835.53,4280.23,2.0,,,,,,
10,10,11,31,2,Nandos_Menu_NewFunctional_Subset2,05/19/2025 11:21:29 AM,002_Resp_031.csv,66228.0,Item_09,4.0,198.0,10095.0,Item_17,4.0,34.0,7852.0,Item_61,4,26.0,13297.0,Item_10,4.0,37.0,13762.0,Item_30,4.0,48.0,,,,,,,,,,,3330.23,11225.409999999998,8.0,6024.51,1632.15,2.0,,,,,,
11,11,12,4,1,Nandos_Menu_Current_Subset1,05/19/2025 11:51:59 AM,002_Resp_004 (3).csv,64656.1395,Item_73,4.0,142.0,27331.9272,Item_17,4.0,73.0,95559.4052,Item_61,4,237.0,7161.7896,Item_10,4.0,18.0,19468.8714,Item_46,3.0,28.0,0.0,1.0,0.0,1.0,0.0,,,,,,5976.07,82424.16,17.0,297.22,47749.130000000005,16.0,5976.07,24049.410000000003,5.0,50527.76,1132.52,1.0
12,12,13,12,1,Nandos_Menu_Current_Subset1_2 (1),05/20/2025 1:36:36 PM,001_Resp_012.csv,5142.7997,Item_16,4.0,11.0,12796.815,Item_73,4.0,32.0,54949.7195,Item_42,3,98.0,5794.074,Item_10,3.0,16.0,2938.0503,Item_30,4.0,8.0,0.0,1.0,0.0,1.0,0.0,,,,,,7657.18,6528.6,8.0,291.75,19769.14,16.0,58470.64,183.19,1.0,36898.75,383.05,1.0
13,13,14,37,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 2:30:50 PM,009_Resp_037.csv,29626.3943,Item_06,3.0,71.0,7698.3824,Item_65,4.0,15.0,11736.2335,,4,22.0,10319.4707,Item_10,4.0,24.0,81138.2225,Item_30,4.0,185.0,0.0,0.0,0.0,1.0,0.0,,,,,,10967.37,31310.850000000002,12.0,,0.0,0.0,62505.63,2331.67,1.0,,0.0,0.0
14,14,15,40,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 2:38:16 PM,003_Resp_040.csv,29738.0325,Item_23,3.0,51.0,9054.7444,,3.0,1.0,3706.9754,,2,,6825.7578,,3.0,1.0,45452.8714,Item_26,4.0,45.0,0.0,1.0,1.0,1.0,0.0,,,,,,4592.65,12191.27,11.0,5189.15,4630.02,2.0,4592.65,1832.02,5.0,5189.15,4630.02,2.0
15,15,16,13,1,Nandos_Menu_Current_Subset1_2,05/20/2025 3:21:20 PM,011_Resp_013 .csv,12801.9888,Item_73,4.0,35.0,10884.5138,Item_17,4.0,34.0,46732.8576,Item_61,3,119.0,7518.3952,Item_10,4.0,24.0,4208.0731,Item_30,4.0,9.0,0.0,0.0,1.0,1.0,0.0,,,,,,659.46,34092.189999999995,18.0,7685.71,34308.78,17.0,659.46,13506.95,7.0,7685.71,2048.54,1.0
16,16,17,14,1,Nandos_Menu_Current_Subset1_2 (1),05/20/2025 3:34:50 PM,002_Resp_014.csv,2852.7457,,2.0,,3394.882,Item_17,3.0,12.0,47749.3367,,3,38.0,4297.5773,,4.0,9.0,5573.9779,Item_26,3.0,7.0,0.0,0.0,0.0,1.0,0.0,,,,,,2922.75,23749.52,12.0,3282.03,16688.100000000002,13.0,2922.75,2498.19,2.0,3282.03,3147.73,1.0
17,17,18,42,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 4:26:15 PM,004_Resp_042.csv,3727.3032,Item_41,4.0,5.0,37030.022,Item_17,4.0,108.0,11829.6795,Item_20,4,31.0,4694.9482,Item_47,4.0,11.0,15402.0578,Item_30,4.0,48.0,0.0,1.0,0.0,1.0,0.0,,,,,,2167.29,12540.960000000001,9.0,11289.32,349.74,1.0,9178.93,4496.75,5.0,11289.32,349.74,1.0
18,18,19,11,1,Nandos_Menu_Current_Subset1_2,05/20/2025 9:21:59 AM,012_Resp_011.csv,21209.2447,Item_03,4.0,63.0,88511.3209,,3.0,192.0,114878.7972,,4,252.0,11386.8065,Item_10,4.0,24.0,20198.3546,Item_30,3.0,39.0,0.0,0.0,0.0,0.0,0.0,,,,,,1544.34,65303.05,15.0,7378.96,37912.439999999995,15.0,5791.27,6112.299999999999,2.0,7378.96,16887.84,5.0
19,19,20,33,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 10:20:54 AM,011_Resp_033.csv,34898.8487,Item_65,4.0,96.0,23550.6876,Item_17,4.0,57.0,15144.9506,Item_61,3,33.0,26517.8195,Item_70,3.0,54.0,10487.0679,Item_30,3.0,19.0,0.0,0.0,1.0,0.0,0.0,,,,,,13531.82,9043.58,11.0,3943.07,10492.56,5.0,29320.46,1548.92,2.0,8556.42,1032.61,1.0
20,20,21,36,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 10:38:52 AM,001_Resp_036.csv,20238.451,Item_09,4.0,56.0,12310.81,Item_44,4.0,30.0,10670.6967,Item_83,3,26.0,6132.8724,Item_47,4.0,18.0,7980.9926,Item_46,3.0,22.0,0.0,1.0,0.0,1.0,1.0,,,,,,3441.58,61405.82,17.0,5456.06,8610.47,4.0,3991.17,40820.64000000001,8.0,5456.06,8610.47,4.0
21,21,22,61,3,Nandos_Menu_NewUnique_Subset3_2,05/20/2025 11:14:26 AM,017_Resp_061.csv,13602.3897,Item_09,3.0,41.0,6119.4303,Item_15,4.0,13.0,8084.7626,,3,19.0,3039.6132,Item_47,4.0,7.0,6660.3058,Item_46,4.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,,,4516.77,8860.23,9.0,,0.0,0.0,22886.89,1548.87,2.0,,0.0,0.0
22,22,23,38,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/20/2025 11:30:49 AM,002_Resp_038.csv,4034.1145,Item_09,4.0,10.0,5349.644,Item_17,3.0,13.0,12997.422,Item_61,4,39.0,5737.4742,Item_47,3.0,15.0,4091.6105,Item_30,4.0,11.0,0.0,1.0,0.0,1.0,0.0,,,,,,6568.06,18753.17,13.0,7136.91,1199.16,2.0,20624.62,766.13,2.0,7136.91,1199.16,2.0
23,23,24,35,2,Nandos_Menu_NewFunctional_Subset2_2,05/20/2025 12:47:28 PM,010_Resp_035.csv,6730.3963,Item_09,4.0,17.0,12729.6631,Item_15,4.0,35.0,10366.9824,Item_61,3,26.0,8567.7085,Item_10,4.0,20.0,13864.1192,Item_46,4.0,32.0,0.0,1.0,0.0,0.0,0.0,,,,,,7087.18,25048.350000000002,14.0,15385.42,699.49,1.0,28588.11,5712.58,3.0,,,
24,24,25,18,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 1:17:43 PM,004_Resp_018.csv,16975.1228,Item_17,4.0,48.0,16613.0508,Item_17,4.0,48.0,20824.1274,Item_53,3,48.0,4153.0682,Item_10,4.0,8.0,4289.7741,Item_46,4.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,2859.32,38888.70999999999,18.0,823.88,10009.449999999999,12.0,,,,13981.08,1698.76,1.0
25,25,26,20,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 2:24:57 PM,005_Resp_020.csv,14007.6439,Item_73,3.0,34.0,6665.284,Item_17,4.0,21.0,35522.927,Item_51,4,76.0,4881.862,Item_47,4.0,11.0,7607.8392,Item_30,4.0,23.0,0.0,1.0,0.0,1.0,0.0,,,,,,3830.56,32954.35,17.0,13816.68,35840.799999999996,16.0,3830.56,4330.24,4.0,13816.68,9876.2,6.0
26,26,27,69,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 2:27:03 PM,013_Resp_069.csv,17899.2501,Item_09,4.0,46.0,32156.699,Item_33,4.0,71.0,24028.6616,Item_61,3,46.0,14281.8944,Item_10,4.0,31.0,11617.89,Item_30,3.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,878.48,52245.7,19.0,1558.7,12757.550000000001,5.0,36336.3,2764.69,1.0,1558.7,3547.46,1.0
27,27,28,66,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 3:14:11 PM,003_Resp_066.csv,24775.6932,Item_41,4.0,54.0,18510.9613,Item_02,4.0,46.0,71559.4906,Item_61,4,170.0,5107.927,Item_47,4.0,10.0,3826.3644,Item_26,4.0,7.0,0.0,1.0,1.0,1.0,1.0,,,,,,4575.17,11841.480000000003,12.0,3769.23,2381.6400000000003,3.0,20646.93,2231.7300000000005,4.0,3769.23,2381.6400000000003,3.0
28,28,29,41,2,Nandos_Menu_NewFunctional_Subset2_2,05/21/2025 3:34:12 PM,008_Resp_041.csv,31766.2073,Item_02,3.0,44.0,14094.5224,Item_17,4.0,6.0,37244.1612,,3,52.0,38550.3233,Item_10,4.0,61.0,16211.6749,Item_26,3.0,26.0,1.0,1.0,1.0,1.0,0.0,,,,,,21070.55,44834.32,15.0,1558.19,499.67,2.0,21070.55,30328.170000000002,9.0,45424.1,366.42,1.0
29,29,30,71,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 4:24:33 PM,012_Resp_071.csv,3184.8416,Item_09,4.0,9.0,17100.115,Item_17,4.0,44.0,8180.8885,Item_61,4,20.0,2830.6854,Item_47,3.0,5.0,1332.498,Item_30,4.0,4.0,0.0,1.0,1.0,1.0,0.0,,,,,,8836.47,22966.579999999998,16.0,7634.26,14672.79,5.0,9752.48,14373.0,10.0,7634.26,6678.530000000001,2.0
30,30,31,63,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 9:09:33 AM,016_Resp_063.csv,35962.3869,Item_65,3.0,99.0,9271.6259,Item_15,4.0,24.0,23601.6867,,3,61.0,6003.4147,Item_10,4.0,14.0,3528.8856,Item_30,4.0,7.0,0.0,1.0,0.0,1.0,0.0,,,,,,19648.85,16638.02,9.0,18126.62,24082.69,5.0,19648.85,4097.02,2.0,,,
31,31,32,16,1,Nandos_Menu_Current_Subset1_2 (1),05/21/2025 9:10:32 AM,003_Resp_016.csv,24518.5085,Item_73,4.0,84.0,68879.4472,Item_17,4.0,222.0,72340.1686,Item_84,3,221.0,3185.904,Item_47,4.0,10.0,2387.3752,Item_46,4.0,9.0,0.0,0.0,0.0,1.0,0.0,,,,,,1163.55,38055.76,17.0,313.68,8577.16,10.0,1163.55,3863.8499999999995,4.0,4910.37,5795.84,5.0
32,32,33,65,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 9:56:23 AM,015_Resp_065.csv,44166.3403,Item_09,4.0,115.0,15716.7884,Item_15,4.0,40.0,32341.0436,Item_42,4,85.0,7479.9106,Item_10,3.0,21.0,5802.6094,Item_46,4.0,19.0,0.0,0.0,0.0,0.0,0.0,,,,,,5018.09,11008.890000000001,11.0,17055.06,399.71,1.0,50285.53,1532.24,2.0,,,
33,33,34,62,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 10:22:22 AM,001_Resp_062.csv,27531.4895,Item_41,4.0,74.0,21933.5983,Item_17,4.0,59.0,12856.7248,,4,31.0,11172.2974,Item_10,3.0,30.0,18162.6676,Item_46,4.0,43.0,,,,,,,,,,,3517.97,29928.390000000003,18.0,30144.41,233.17,1.0,,,,,,
34,34,35,64,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/21/2025 11:15:20 AM,002_Resp_064.csv,37172.8155,Item_41,4.0,69.0,23578.9687,Item_40,3.0,48.0,97852.0683,Item_42,4,91.0,4843.3253,Item_47,4.0,11.0,9437.5305,Item_30,4.0,25.0,0.0,1.0,1.0,1.0,1.0,,,,,,797.05,11558.320000000002,11.0,8166.97,8627.11,5.0,797.05,5279.5,6.0,8166.97,2564.83,2.0
35,35,36,67,3,Nandos_Menu_NewUnique_Subset3_2,05/21/2025 11:17:15 AM,014_Resp_067.csv,19019.3977,Item_09,3.0,60.0,10510.2105,Item_15,4.0,30.0,31751.6122,Item_11,3,89.0,6025.5181,Item_47,4.0,13.0,4122.6855,Item_46,3.0,14.0,0.0,1.0,1.0,1.0,0.0,,,,,,11074.04,40287.7,11.0,86673.99,24449.1,5.0,11074.04,21567.82,5.0,86673.99,9459.87,1.0
36,36,37,17,1,Nandos_Menu_Current_Subset1_2,05/22/2025 1:11:44 PM,009_Resp_017.csv,12554.39,Item_73,4.0,38.0,7298.6447,Item_17,3.0,19.0,64808.3038,Item_60,4,142.0,4277.4182,Item_10,4.0,10.0,3825.3095,Item_46,4.0,10.0,0.0,1.0,1.0,1.0,0.0,,,,,,3729.48,16504.26,14.0,4679.85,17903.75,11.0,3729.48,11174.960000000003,10.0,5346.05,2131.78,1.0
37,37,38,48,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 1:20:53 PM,007_Resp_048.csv,5938.4468,Item_65,4.0,14.0,52474.9751,Item_69,4.0,110.0,51562.1933,,3,109.0,19678.8116,Item_10,4.0,39.0,8574.3329,Item_30,4.0,21.0,0.0,1.0,0.0,1.0,0.0,,,,,,11043.33,59706.94000000001,14.0,43691.51,12207.89,4.0,32661.12,22017.48,5.0,43691.51,2564.85,1.0
38,38,39,45,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 2:07:10 PM,006_Resp_045.csv,44951.3504,,4.0,82.0,23142.9248,Item_69,4.0,58.0,40118.6853,Item_42,4,88.0,9583.2846,Item_10,4.0,22.0,27694.3127,Item_30,4.0,58.0,0.0,0.0,0.0,1.0,0.0,,,,,,19233.75,31910.42,13.0,22857.63,14639.48,5.0,98593.53,1099.22,1.0,22857.63,9792.96,3.0
39,39,40,68,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/22/2025 2:22:04 PM,004_Resp_068.csv,94799.1454,Item_41,4.0,223.0,29059.8084,Item_16,4.0,58.0,7826.1282,Item_61,3,13.0,23835.0777,Item_10,4.0,46.0,4244.2097,Item_46,4.0,5.0,0.0,0.0,0.0,1.0,0.0,,,,,,2031.47,1532.2,5.0,8233.28,18519.88,5.0,2031.47,166.55,1.0,8233.28,4097.05,2.0
40,40,41,47,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 3:03:36 PM,005_Resp_047.csv,30962.725,Item_09,4.0,86.0,20610.3219,Item_17,4.0,49.0,103369.7142,Item_57,4,275.0,11935.4045,Item_10,4.0,28.0,3509.3025,Item_30,4.0,9.0,1.0,1.0,1.0,1.0,1.0,,,,,,3529.15,28496.19,18.0,10355.65,4413.37,4.0,3529.15,28496.19,18.0,10355.65,2181.63,3.0
41,41,42,75,3,Nandos_Menu_NewUnique_Subset3_2,05/22/2025 3:57:11 PM,010_Resp_075.csv,74941.118,Item_65,3.0,161.0,39151.4693,Item_15,4.0,89.0,18379.2744,Item_61,4,42.0,27922.512,Item_47,4.0,51.0,10798.8738,Item_46,3.0,27.0,,,,,,,,,,,1819.04,71864.84000000001,19.0,12272.54,31294.159999999996,5.0,,,,,,
42,42,43,44,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 9:08:00 AM,005_Resp_044.csv,5270.3646,Item_65,3.0,12.0,13772.0646,Item_06,4.0,44.0,32422.1715,Item_61,3,104.0,4870.1067,Item_47,3.0,9.0,4345.7518,Item_46,3.0,14.0,0.0,1.0,0.0,1.0,0.0,,,,,,1968.4,7311.389999999999,9.0,16368.94,716.15,1.0,15891.72,1299.06,2.0,16368.94,716.15,1.0
