,Unnamed: 0,respondent,resp_id_old,subset,subset_old,survey_immediate_start,sns_filename,sns_findSpecific_Item1_RT,sns_findSpecific_Item1_AOISelected,sns_findSpecific_Item1_AOIAccuracy,sns_findSpecific_Item1_FixationCount,sns_findSpecific_Item2_RT,sns_findSpecific_Item2_AOISelected,sns_findSpecific_Item2_AOIAccuracy,sns_findSpecific_Item2_FixationCount,sns_findSpecific_Item3_RT,sns_findSpecific_Item3_AOISelected,sns_findSpecific_Item3_AOIAccuracy,sns_findSpecific_Item3_FixationCount,sns_findSpecific_Item4_RT,sns_findSpecific_Item4_AOISelected,sns_findSpecific_Item4_AOIAccuracy,sns_findSpecific_Item4_FixationCount,sns_findSpecific_Item5_RT,sns_findSpecific_Item5_AOISelected,sns_findSpecific_Item5_AOIAccuracy,sns_findSpecific_Item5_FixationCount,sns_findSpecific_Item1_subjUndiscovered,sns_findSpecific_Item2_subjUndiscovered,sns_findSpecific_Item3_subjUndiscovered,sns_findSpecific_Item4_subjUndiscovered,sns_findSpecific_Item5_subjUndiscovered,iam_findSpecific_Item1_ClickAccurate,iam_findSpecific_Item2_ClickAccurate,iam_findSpecific_Item3_ClickAccurate,iam_findSpecific_Item4_ClickAccurate,iam_findSpecific_Item5_ClickAccurate,iam_findAnything_FrontPage_Undiscovered_TTFF,iam_findAnything_FrontPage_Undiscovered_TFD,iam_findAnything_FrontPage_Undiscovered_FixationCount,iam_findAnything_BackPage_Undiscovered_TTFF,iam_findAnything_BackPage_Undiscovered_TFD,iam_findAnything_BackPage_Undiscovered_FixationCount,iam_findAnything_FrontPage_SubjUndiscovered_TTFF,iam_findAnything_FrontPage_SubjUndiscovered_TFD,iam_findAnything_FrontPage_SubjUndiscovered_FixationCount,iam_findAnything_BackPage_SubjUndiscovered_TTFF,iam_findAnything_BackPage_SubjUndiscovered_TFD,iam_findAnything_BackPage_SubjUndiscovered_FixationCount
43,43,44,43,2,Nandos_Menu_NewFunctional_Subset2_2,05/22/2025 9:10:43 AM,007_Resp_043.csv,21664.3916,Item_65,3.0,69.0,3893.6925,Item_17,4.0,11.0,31008.3268,Item_60,4,78.0,4692.7443,Item_10,4.0,15.0,3457.2404,Item_30,3.0,10.0,0.0,1.0,0.0,0.0,0.0,,,,,,11081.28,7811.07,7.0,7809.15,8510.57,5.0,,0.0,0.0,7809.15,2981.2,1.0
44,44,45,73,3,Nandos_Menu_NewUnique_Subset3_2,05/22/2025 10:14:32 AM,011_Resp_073.csv,19331.4451,Item_09,4.0,58.0,5323.5139,Item_17,4.0,17.0,4189.4857,,4,12.0,2972.7959,Item_47,4.0,7.0,6600.1107,Item_30,4.0,20.0,1.0,1.0,0.0,1.0,0.0,,,,,,7430.31,12574.14,13.0,20641.97,4280.2699999999995,3.0,7779.86,6512.010000000001,7.0,20641.97,2448.24,2.0
45,45,46,15,1,Nandos_Menu_Current_Subset1_2,05/22/2025 11:31:19 AM,010_Resp_015.csv,7547.8427,Item_73,4.0,18.0,6452.2972,Item_17,4.0,20.0,212216.8379,Item_17,3,455.0,3958.2862,Item_47,4.0,11.0,9248.3325,Item_30,4.0,31.0,0.0,1.0,0.0,1.0,0.0,,,,,,2542.72,26064.529999999995,14.0,225.98,34891.55,17.0,2542.72,15488.78,5.0,,,
46,46,47,46,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/22/2025 11:40:36 AM,006_Resp_046.csv,6181.4349,Item_41,4.0,21.0,6051.0839,Item_15,4.0,20.0,48034.348,Item_61,3,145.0,5122.1533,Item_10,4.0,13.0,16314.1311,Item_46,3.0,46.0,0.0,0.0,0.0,1.0,0.0,,,,,,689.75,47898.76,15.0,46125.45,15455.630000000001,4.0,7551.48,13273.710000000001,4.0,,,
47,47,48,49,2,Nandos_Menu_NewFunctional_Subset2_2,05/23/2025 1:07:51 PM,004_Resp_049.csv,230015.5856,Item_41,4.0,501.0,36584.6475,Item_17,4.0,89.0,17621.9952,Item_61,3,39.0,14313.4923,Item_10,4.0,27.0,6015.3133,Item_46,3.0,20.0,0.0,1.0,0.0,1.0,1.0,,,,,,1423.1,18203.56,11.0,5495.2,266.48,1.0,44442.25,9493.18,4.0,5495.2,266.48,1.0
48,48,49,72,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/23/2025 1:09:22 PM,005_Resp_072.csv,47204.7185,Item_65,4.0,122.0,171571.6291,Item_04,4.0,401.0,4347.8853,,3,9.0,4888.6027,Item_10,4.0,16.0,2638.3312,Item_30,4.0,6.0,0.0,0.0,0.0,1.0,0.0,,,,,,4510.32,41969.87,19.0,12322.38,14006.61,5.0,42066.63,7544.56,4.0,,,
49,49,50,25,1,Nandos_Menu_Current_Subset1_2,05/23/2025 3:07:42 PM,007_Resp_025.csv,7107.8334,Item_73,4.0,25.0,16309.8604,Item_17,3.0,44.0,25624.3078,Item_60,3,64.0,5343.7263,Item_47,4.0,15.0,2366.5842,Item_30,3.0,7.0,0.0,1.0,1.0,1.0,0.0,,,,,,2913.31,13956.679999999998,13.0,686.66,53861.48,16.0,2913.31,5879.130000000001,6.0,686.66,3597.44,1.0
50,50,51,52,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 3:08:52 PM,008_Resp_052.csv,20164.5125,Item_73,4.0,46.0,54179.1599,Item_73,4.0,117.0,17727.7784,Item_54,4,43.0,4716.4431,Item_47,3.0,11.0,15128.378,Item_46,4.0,40.0,0.0,1.0,0.0,1.0,1.0,,,,,,2309.3,13157.230000000001,15.0,326.9,16837.86,12.0,2309.3,6978.3200000000015,9.0,326.9,8677.08,7.0
51,51,52,70,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/23/2025 4:14:02 PM,006_Resp_070.csv,6241.8623,Item_09,4.0,21.0,115743.1757,Item_17,4.0,318.0,64471.0818,Item_60,4,177.0,6964.1773,Item_47,4.0,19.0,11604.785,Item_30,3.0,34.0,0.0,0.0,0.0,0.0,0.0,,,,,,16435.59,23816.249999999996,15.0,14058.66,3580.74,2.0,17668.03,6578.639999999999,4.0,,0.0,0.0
52,52,53,77,3,Nandos_Menu_NewUnique_Subset3_2,05/23/2025 9:10:56 AM,009_Resp_077.csv,46727.5007,Item_11,4.0,91.0,23278.3981,Item_17,4.0,71.0,14276.3135,Item_61,4,42.0,6568.0298,Item_10,3.0,22.0,3385.8987,Item_30,4.0,11.0,0.0,0.0,0.0,1.0,0.0,,,,,,886.39,40687.48,16.0,30174.79,12191.21,4.0,92653.72,2248.3900000000003,2.0,30174.79,3797.27,1.0
53,53,54,24,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 9:22:17 AM,006_Resp 024.csv,16254.6382,Item_73,4.0,58.0,14744.8358,Item_17,4.0,43.0,9165.6456,Item_83,3,29.0,6102.5295,Item_47,4.0,16.0,3143.1751,Item_30,3.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,4695.4,37056.770000000004,17.0,1978.3,32376.760000000002,16.0,,,,,,
54,54,55,26,1,Nandos_Menu_Current_Subset1_2 (1),05/23/2025 10:13:57 AM,007_Resp_026.csv,38814.644,Item_17,4.0,95.0,45540.1447,Item_72,4.0,128.0,157923.7446,Item_83,3,203.0,8512.654,Item_10,4.0,23.0,3499.7111,Item_30,3.0,10.0,0.0,0.0,0.0,1.0,0.0,,,,,,5201.4,4313.57,11.0,5020.11,11741.560000000001,10.0,26783.86,1132.51,1.0,,,
55,55,56,21,1,Nandos_Menu_Current_Subset1_2,05/23/2025 11:23:53 AM,008_Resp_021.csv,6644.9448,Item_17,3.0,15.0,20980.9223,Item_73,3.0,69.0,32036.6611,Item_60,3,88.0,4681.344,Item_10,3.0,15.0,2836.7138,Item_109,3.0,6.0,0.0,0.0,0.0,1.0,0.0,,,,,,3993.62,38122.659999999996,17.0,315.04,41820.02,17.0,52325.59,5895.78,1.0,21150.07,3847.23,1.0
56,56,57,27,1,Nandos_Menu_Current_Subset1_2,05/26/2025 1:02:36 PM,006_Resp_027.csv,8597.4348,Item_17,4.0,29.0,26761.678,Item_03,3.0,65.0,22540.83,Item_53,4,64.0,7682.7889,Item_10,4.0,27.0,28068.7147,,4.0,78.0,0.0,1.0,1.0,0.0,0.0,,,,,,1127.11,27213.82,15.0,248.06,15089.109999999999,14.0,1127.11,6978.35,7.0,248.06,866.04,1.0
57,57,58,76,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/26/2025 1:10:48 PM,008_Resp_076.csv,48910.4074,Item_09,3.0,130.0,35360.7591,Item_17,4.0,85.0,268446.5695,Item_61,3,712.0,53733.1566,Item_10,4.0,134.0,28413.655,Item_30,3.0,65.0,1.0,1.0,0.0,1.0,1.0,,,,,,3008.98,55126.85999999999,7.0,23293.89,216.53,1.0,12169.05,24432.269999999997,4.0,,0.0,0.0
58,58,59,83,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 1:58:10 PM,006_Resp_083.csv,22092.6539,Item_41,3.0,45.0,70990.1878,Item_17,4.0,153.0,49351.1935,Item_60,4,132.0,14927.947,Item_10,4.0,38.0,21521.0282,,4.0,37.0,0.0,1.0,0.0,1.0,0.0,,,,,,5299.37,39455.020000000004,14.0,19603.21,5595.97,5.0,11028.59,15955.21,3.0,19603.21,4330.21,3.0
59,59,60,58,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 2:46:11 PM,010_Resp_058.csv,83241.7807,Item_09,4.0,202.0,27241.4501,Item_15,4.0,77.0,13529.4812,Item_61,4,30.0,10094.3282,Item_47,3.0,29.0,51949.1977,Item_26,4.0,117.0,0.0,1.0,0.0,1.0,1.0,,,,,,24232.6,54210.99999999999,14.0,56420.14,899.36,1.0,51396.4,26880.639999999996,6.0,56420.14,899.36,1.0
60,60,61,53,2,Nandos_Menu_NewFunctional_Subset2_2,05/26/2025 2:58:25 PM,002_Resp_053.csv,9798.9512,Item_09,4.0,33.0,9543.1009,Item_17,4.0,25.0,8146.4071,Item_65,3,23.0,11831.4124,Item_10,3.0,35.0,3571.8408,Item_30,4.0,9.0,0.0,1.0,0.0,1.0,0.0,,,,,,7749.43,28712.72,16.0,22468.35,24299.21,5.0,8182.45,11858.17,7.0,22468.35,5279.54,2.0
61,61,62,28,1,Nandos_Menu_Current_Subset1_2 (1),05/26/2025 3:45:51 PM,009_Resp_028.csv,5766.2114,Item_06,3.0,10.0,16982.037,Item_06,4.0,50.0,38292.0716,Item_16,3,101.0,4224.4561,Item_47,3.0,10.0,6365.9202,Item_30,4.0,20.0,0.0,0.0,0.0,1.0,0.0,,,,,,3681.95,32377.46,19.0,3418.25,13921.970000000001,14.0,7379.3,6728.459999999999,4.0,8131.52,2015.24,1.0
62,62,63,85,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 4:05:23 PM,005_Resp_085.csv,7600.6083,Item_08,3.0,25.0,23143.3786,Item_17,4.0,67.0,6823.7001,,3,25.0,8378.0944,Item_10,3.0,23.0,5934.9899,Item_30,3.0,15.0,0.0,1.0,0.0,0.0,0.0,,,,,,901.63,40371.04,20.0,8296.43,8277.380000000001,5.0,5415.05,10225.98,6.0,8296.43,2514.86,1.0
63,63,64,50,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 4:36:35 PM,011_Resp_050.csv,23949.5074,Item_65,3.0,57.0,34725.1366,Item_17,4.0,85.0,32269.0017,Item_61,4,84.0,5698.0435,Item_47,3.0,14.0,7017.1749,Item_46,4.0,20.0,0.0,1.0,0.0,0.0,0.0,,,,,,6427.92,12907.44,14.0,24951.8,2148.41,4.0,17586.57,3747.3100000000004,5.0,36260.34,732.79,1.0
64,64,65,79,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 9:26:04 AM,008_Resp_079.csv,36071.239,Item_06,4.0,86.0,27278.078,,3.0,36.0,41077.1654,,3,36.0,17695.465,Item_10,3.0,46.0,65605.1672,Item_30,3.0,93.0,0.0,0.0,0.0,0.0,1.0,,,,,,10195.86,26680.820000000007,14.0,2318.57,11358.130000000001,4.0,,0.0,0.0,2318.57,9393.050000000001,3.0
65,65,66,74,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/26/2025 9:51:22 AM,007_Resp_074.csv,23354.3206,Item_09,3.0,74.0,12104.0871,Item_15,4.0,25.0,15675.7938,,3,41.0,10348.1598,Item_10,3.0,26.0,16205.5723,Item_46,3.0,31.0,0.0,1.0,0.0,1.0,0.0,,,,,,5969.52,12945.48,13.0,9655.28,10675.64,3.0,38679.33,6516.740000000001,6.0,,0.0,0.0
66,66,67,51,2,Nandos_Menu_NewFunctional_Subset2_2,05/26/2025 10:30:14 AM,003_Resp_051.csv,42686.1188,Item_32,4.0,93.0,24054.0744,Item_40,3.0,28.0,20731.3161,Item_42,3,37.0,18880.1301,Item_48,4.0,33.0,12475.673,Item_47,3.0,18.0,0.0,1.0,0.0,1.0,0.0,,,,,,5338.97,48681.63,18.0,63380.58,2265.0,2.0,7437.46,21534.489999999998,6.0,,,
67,67,68,54,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 10:43:35 AM,008_Resp_054.csv,3428.728,Item_09,4.0,8.0,26525.8169,Item_17,4.0,75.0,5697.8609,Item_79,3,21.0,4061.7495,Item_47,4.0,12.0,25733.5968,Item_30,4.0,72.0,0.0,0.0,0.0,0.0,1.0,,,,,,3283.81,14805.980000000001,11.0,5447.15,3935.22,3.0,6131.78,3863.88,3.0,24749.93,1548.89,1.0
68,68,69,56,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/26/2025 11:30:21 AM,009_Resp_056.csv,3657.8509,Item_65,4.0,11.0,10779.364,Item_17,4.0,19.0,124432.3677,Item_61,3,287.0,3786.1909,Item_10,4.0,11.0,2331.0781,Item_30,4.0,5.0,0.0,1.0,0.0,1.0,0.0,,,,,,7471.7,53345.03,15.0,2142.57,22973.989999999998,5.0,12118.37,10309.279999999999,3.0,8854.42,3154.95,1.0
69,69,70,81,3,Nandos_Menu_NewUnique_Subset3_2,05/26/2025 11:31:52 AM,007_Resp_081.csv,104158.9789,,3.0,237.0,99299.4227,Item_69,4.0,174.0,16016.8656,,3,35.0,16854.1425,Item_47,4.0,38.0,18895.3332,Item_46,4.0,50.0,0.0,1.0,1.0,1.0,1.0,,,,,,10196.94,71165.64,19.0,40288.54,23832.79,5.0,10196.94,42635.89,12.0,40288.54,17304.16,3.0
70,70,71,89,3,Nandos_Menu_NewUnique_Subset3_2,05/27/2025 1:08:11 PM,003_Resp_089.csv,25304.2075,Item_41,4.0,83.0,14469.2636,Item_15,4.0,37.0,23289.7837,Item_114,4,62.0,10067.8384,Item_10,4.0,23.0,16942.4283,,3.0,37.0,0.0,0.0,0.0,1.0,1.0,,,,,,1434.84,39937.99,17.0,41557.08,4230.33,4.0,1434.84,17487.45,8.0,41557.08,4230.33,4.0
71,71,72,64,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 1:10:16 PM,014_Resp_064.csv,50166.3021,Item_09,4.0,132.0,14048.5372,Item_17,4.0,41.0,13180.0611,Item_61,3,35.0,5261.0339,Item_10,4.0,16.0,4441.9822,Item_30,3.0,8.0,,,,,,,,,,,2340.57,23682.87,14.0,21644.59,18453.53,4.0,,,,,,
72,72,73,9,1,Nandos_Menu_Current_Subset1_2,05/27/2025 2:09:54 PM,004_Resp_009.csv,7939.2467,Item_17,3.0,23.0,14594.8474,Item_17,4.0,38.0,41772.1961,Item_78,3,99.0,6894.2265,Item_10,4.0,18.0,4643.4146,Item_30,3.0,10.0,0.0,1.0,0.0,1.0,0.0,,,,,,1075.27,24649.160000000003,13.0,888.97,74187.28,17.0,1075.27,14040.09,6.0,17693.58,3447.55,1.0
73,73,74,66,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 2:31:05 PM,015_Resp_066.csv,53522.7426,Item_09,3.0,153.0,12938.7477,Item_15,4.0,35.0,8868.0204,,4,30.0,10577.1018,Item_47,3.0,26.0,7707.9418,Item_46,3.0,17.0,,,,,,,,,,,1458.01,12474.380000000001,15.0,6832.63,1832.02,2.0,,,,,,
74,74,75,19,1,Nandos_Menu_Current_Subset1_2,05/27/2025 3:14:56 PM,003_Resp_019.csv,19885.0097,Item_74,4.0,52.0,9605.4013,Item_06,4.0,30.0,21007.7223,Item_53,4,57.0,7352.9635,Item_10,4.0,16.0,5919.7134,Item_26,4.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,11636.27,6878.370000000002,8.0,2262.73,12041.580000000002,9.0,23311.25,3697.34,1.0,11622.73,649.7,1.0
75,75,76,82,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/27/2025 4:45:09 PM,010_Resp_082.csv,2860.3222,Item_09,4.0,9.0,12436.3384,Item_17,3.0,38.0,8455.7848,Item_60,4,28.0,3790.6519,Item_47,4.0,9.0,6098.9048,Item_46,4.0,18.0,0.0,0.0,1.0,1.0,0.0,,,,,,11847.51,76644.99,19.0,9374.69,549.6,1.0,26453.66,9759.65,4.0,9374.69,549.6,1.0
76,76,77,29,1,Nandos_Menu_Current_Subset1_2,05/27/2025 9:00:22 AM,005_Resp_029.csv,9293.0889,Item_17,3.0,27.0,57942.6228,Item_17,3.0,159.0,56770.1522,Item_07,4,153.0,6411.9392,Item_70,4.0,20.0,4245.855,Item_46,3.0,12.0,1.0,0.0,0.0,1.0,1.0,,,,,,1718.8,25565.11,15.0,1342.02,22583.730000000003,16.0,1718.8,9859.61,6.0,3573.74,4580.01,3.0
77,77,78,60,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 9:07:54 AM,012_Resp_060.csv,4671.3624,Item_65,3.0,15.0,43150.9045,Item_15,3.0,102.0,7910.5097,Item_61,3,16.0,4494.2422,Item_47,3.0,14.0,6915.5217,Item_30,4.0,21.0,0.0,1.0,0.0,1.0,0.0,,,,,,8800.6,42186.36,14.0,20254.34,5462.73,2.0,8800.6,10475.810000000001,5.0,20254.34,3064.46,1.0
78,78,79,55,2,Nandos_Menu_NewFunctional_Subset2_2,05/27/2025 10:00:30 AM,001_Resp_055.csv,43144.6432,Item_65,4.0,110.0,9409.4447,Item_17,3.0,28.0,7284.7228,Item_32,4,23.0,9949.9798,Item_10,4.0,29.0,5636.2945,Item_30,3.0,15.0,0.0,1.0,0.0,1.0,0.0,,,,,,24847.65,14989.2,11.0,20552.45,8943.62,3.0,24847.65,10209.29,7.0,,0.0,0.0
79,79,80,62,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/27/2025 10:22:15 AM,013_Resp_062.csv,6704.1648,Item_65,3.0,23.0,11339.9622,Item_17,4.0,30.0,25651.2211,,3,82.0,2898.7086,Item_10,3.0,7.0,2331.3582,Item_30,4.0,11.0,0.0,1.0,0.0,1.0,1.0,,,,,,25356.19,7644.49,9.0,13852.17,4963.18,4.0,25356.19,5429.42,5.0,13852.17,4963.18,4.0
80,80,81,78,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/27/2025 11:12:07 AM,009_Resp_078.csv,14621.9697,Item_09,4.0,50.0,8147.4604,Item_17,4.0,15.0,4249.4794,Item_61,3,9.0,7306.4678,Item_10,3.0,25.0,4910.6942,,4.0,11.0,0.0,1.0,1.0,1.0,0.0,,,,,,3373.05,33398.4,19.0,38183.39,17121.01,5.0,10268.09,15772.009999999998,8.0,38183.39,2681.41,1.0
81,81,82,22,1,Nandos_Menu_Current_Subset1_2,05/28/2025 9:19:24 AM,002_Resp_022.csv,15351.2,Item _72,3.0,37.0,74621.3246,,4.0,194.0,12034.5724,,3,40.0,7407.2342,Item_47,4.0,23.0,3395.9842,,4.0,10.0,0.0,1.0,0.0,1.0,0.0,,,,,,6943.73,36756.869999999995,13.0,10639.98,26048.03,16.0,6943.73,29095.72,9.0,15786.27,3763.95,1.0
82,82,83,57,2,Nandos_Menu_NewFunctional_Subset2_2 (1),05/28/2025 9:47:05 AM,016_Resp_057.csv,4507.6482,Item_09,4.0,10.0,22978.0816,Item_17,3.0,57.0,6108.0874,,4,16.0,8943.9368,Item_47,4.0,20.0,3000.609,Item_30,4.0,5.0,0.0,0.0,0.0,1.0,1.0,,,,,,3546.18,2631.41,7.0,23660.29,15139.089999999998,5.0,,0.0,0.0,29306.24,6878.37,2.0
83,83,84,88,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 10:17:14 AM,002_Resp_088.csv,,,,,33177.52,Item_17,4.0,70.0,19903.6326,Item_32,4,53.0,8958.5597,Item_10,4.0,16.0,10871.3196,Item_46,3.0,23.0,0.0,1.0,0.0,1.0,1.0,,,,,,5986.77,25647.989999999998,17.0,2700.15,8094.200000000001,5.0,5986.77,14605.92,7.0,2700.15,6245.52,4.0
84,84,85,84,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 10:32:28 AM,011_Resp_084.csv,52888.4756,Item_09,4.0,121.0,64556.6685,Item_17,4.0,176.0,13553.764,,3,31.0,10100.7097,Item_10,4.0,30.0,5880.0118,Item_46,4.0,14.0,0.0,1.0,0.0,1.0,0.0,,,,,,5552.17,32293.45,19.0,15743.69,149.89,1.0,39777.56,9493.11,7.0,,0.0,0.0
85,85,86,90,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 11:13:30 AM,001_Resp_090.csv,30995.0243,Item_41,4.0,99.0,16686.2631,Item_17,4.0,51.0,88900.4467,Item_23,4,237.0,6532.6772,Item_10,4.0,16.0,13380.9345,Item_30,4.0,38.0,0.0,0.0,0.0,1.0,1.0,,,,,,2340.67,17304.61,12.0,8719.42,12952.39,5.0,18362.52,3980.6499999999996,3.0,8719.42,7273.47,4.0
86,86,87,86,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 11:21:26 AM,012_Resp_086.csv,11122.7346,Item_09,4.0,30.0,12387.9773,Item_15,3.0,42.0,11873.4397,,4,38.0,10646.7551,Item_70,4.0,38.0,3332.4586,Item_46,4.0,12.0,0.0,1.0,0.0,0.0,0.0,,,,,,5483.49,19517.869999999995,13.0,2812.54,7661.1900000000005,4.0,13359.21,9225.24,6.0,,,
87,87,88,87,3,Nandos_Menu_NewUnique_Subset3_2,05/28/2025 12:07:04 PM,004_Resp_087.csv,39016.3303,Item_09,4.0,94.0,27744.4205,Item_17,4.0,82.0,28468.9338,Item_61,3,73.0,7824.09,Item_10,4.0,13.0,6000.9591,Item_30,4.0,13.0,0.0,0.0,0.0,1.0,0.0,,,,,,2933.85,26830.65,16.0,13883.13,4679.99,3.0,29481.51,3930.5200000000004,4.0,13883.13,1865.33,1.0
88,88,89,80,3,Nandos_Menu_NewUnique_Subset3_2 (1),05/28/2025 12:23:44 PM,013_Resp_080.csv,16487.1946,Item_65,3.0,37.0,11221.0269,Item_15,3.0,23.0,8122.6509,,3,24.0,6836.0324,Item_10,4.0,8.0,3983.2009,Item_46,3.0,12.0,0.0,0.0,0.0,1.0,0.0,,,,,,5914.79,63254.59999999999,18.0,4444.25,24299.190000000002,5.0,5914.79,22034.230000000003,5.0,22729.27,1765.41,1.0
89,89,90,30,1,Nandos_Menu_Current_Subset1_2,05/28/2025 12:54:30 PM,001_Resp_030.csv,4639.1478,Item_17,4.0,11.0,48634.9793,,3.0,128.0,35167.3536,Item_23,3,82.0,4152.259,Item_70,4.0,13.0,2377.8544,Item_104,4.0,3.0,0.0,1.0,0.0,0.0,0.0,,,,,,1416.17,7711.139999999999,12.0,2001.58,20238.43,14.0,1416.17,5729.219999999999,6.0,2001.58,4149.9400000000005,3.0
